00440001,BenQ Mobile GmbH & Co. OHG,Prototype  ,,,
33006153,Alcatel Radiotelephone,One Touch  Easy  ,,,
33006167,Alcatel Radiotelephone,One Touch  Easy  ,,,
33006200,Mitsubishi Electric ,MT30 - MT230 - MT430  ,,,
33006235,Mitsubishi Electric,MT30X  ,,,
33006335,Mitsubishi Electric ,MT35X-MT235X-MT435X  ,,,
33006400,Mitsubishi Electric ,MT35 - MT235 - MT435  ,,,
33006435,Mitsubishi Electric ,MT35 - MT235 - MT435  ,,,
33006500,Mitsubishi Electric ,MT30I-MT230I-MT430I  ,,,
33006535,Mitsubishi Electric ,MT30I-MT230I-MT430I  ,,,
33006600,Mitsubishi Electric ,MT35I-MT235I-MT435I  ,,,
33006635,Mitsubishi Electric ,MT35I-MT235I-MT435I  ,,,
33007200,Sagem ,RC 700 (MCT)  ,,,
33007235,Sagem ,RC 700 (MCT)  ,,,
33007282,Sagem ,RC 700 (MCT)  ,,,
33007300,Alcatel Radiotelephone ,ONE TOUCH VIEW  ,,,
33007353,Alcatel Radiotelephone,One Touch  View  ,,,
33007367,Alcatel Radiotelephone,One Touch  View  ,,,
33007370,Alcatel Radiotelephone,One Touch  View  ,,,
33007371,Alcatel Radiotelephone,One Touch  View  ,,,
33007453,Alcatel Radiotelephone ,ONE TOUCH VIEW  ,,,
33007500,Alcatel Radiotelephone ,ONE TOUCH POCKET  ,,,
33007553,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33007567,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33007570,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33007571,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33007800,Sagem ,RD 750 X/R/T  ,,,
33007882,Sagem ,RD 750 X/R/T  ,,,
33008000,Sagem ,RC 728  ,,,
33008035,Sagem ,RC 728  ,,,
33008100,Sagem ,RD 900 S/SC.GSM 2400  ,,,
33008182,Sagem ,RD 900 S/SC.GSM 2400  ,,,
33008500,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
33008553,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
33009000,Alcatel Radiotelephone ,ONE TOUCH EASY  ,,,
33009053,Alcatel Radiotelephone,One Touch  Easy  ,,,
33009067,Alcatel Radiotelephone,One Touch  Easy  ,,,
33009070,Alcatel Radiotelephone,One Touch  Easy  ,,,
33009071,Alcatel Radiotelephone,One Touch  Easy  ,,,
33009100,Alcatel Radiotelephone ,ONE TOUCH CLUB  ,,,
33009153,Alcatel Radiotelephone ,ONE TOUCH CLUB  ,,,
33009167,Alcatel Radiotelephone ,ONE TOUCH CLUB  ,,,
33009200,Alcatel Radiotelephone,ONE TOUCH CLUB+  ,,,
33009253,Alcatel Radiotelephone,One Touch  Club  ,,,
33009267,Alcatel Radiotelephone,One Touch  Club  ,,,
33009270,Alcatel Radiotelephone,One Touch  Club  ,,,
33009271,Alcatel Radiotelephone,One Touch  Club  ,,,
33009700,Sagem ,RD 750 E.T/X/R  ,,,
33009782,Sagem ,RD 750 E.T/X/R  ,,,
33009900,Sagem ,RC 700 (MCT)  ,,,
33009935,Sagem ,RC 700 (MCT)  ,,,
33009982,Sagem ,RC 700 (MCT)  ,,,
33010000,Alcatel Radiotelephone,ONE TOUCH POCKET  ,,,
33010067,Alcatel Radiotelephone ,ONE TOUCH POCKET  ,,,
33010100,Alcatel Radiotelephone ,ONE TOUCH CLUB+  ,,,
33010153,Alcatel Radiotelephone,One Touch  Club  ,,,
33010167,Alcatel Radiotelephone,One Touch  Club  ,,,
33010170,Alcatel Radiotelephone,One Touch  Club  ,,,
33010171,Alcatel Radiotelephone,One Touch  Club  ,,,
33010200,Alcatel Radiotelephone ,ONE TOUCH MAX db  ,,,
33010253,Alcatel Radiotelephone,ONE TOUCH MAX db  ,,,
33010267,Alcatel Radiotelephone,ONE TOUCH MAX db  ,,,
33010270,Alcatel Radiotelephone,ONE TOUCH MAX dbM  ,,,
33010271,Alcatel Radiotelephone,ONE TOUCH MAX db  ,,,
33010300,Alcatel Radiotelephone,ONE TOUCH POCKET  ,,,
33010353,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33010367,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33010370,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33010371,Alcatel Radiotelephone,One Touch  Pocket  ,,,
33010500,Wavecom,MT-18  ,,,
33010533,Wavecom,MT-18  ,,,
33010600,Alcatel Radiotelephone,ONE TOUCH CLUB  ,,,
33010653,Alcatel Radiotelephone,One Touch  Club  ,,,
33010667,Alcatel Radiotelephone,One Touch  Club  ,,,
33010670,Alcatel Radiotelephone,One Touch  Club  ,,,
33010671,Alcatel Radiotelephone,One Touch  Club  ,,,
33011095,Sagem ,RD855  ,,,
33011111,Sagem ,RD868 C  ,,,
33011500,Sagem ,RC 820  ,,,
33011535,Sagem ,RC 820  ,,,
33011582,Sagem ,RC 820  ,,,
33011595,Sagem ,RC 820  ,,,
33012100,Sagem ,RC 822  ,,,
33012135,Sagem ,RC 822  ,,,
33012400,Mitsubishi Electric ,MT430 (MOBICARTE)  ,,,
33012435,Mitsubishi Electric,MT30  ,,,
33012500,Alcatel Radiotelephone,ONE TOUCH EASY  ,,,
33012553,Alcatel Radiotelephone,One Touch  Easy  ,,,
33012567,Alcatel Radiotelephone,One Touch  Easy  ,,,
33012570,Alcatel Radiotelephone,One Touch  Easy  ,,,
33012571,Alcatel Radiotelephone,One Touch  Easy  ,,,
33012653,Alcatel Radiotelephone,ONE TOUCH VIEW SFR  ,,,
33013500,Sagem ,G 8300  ,,,
33013535,Sagem ,G 8300  ,,,
33014000,Alcatel Radiotelephone,ONE TOUCH EASY  ,,,
33014053,Alcatel Radiotelephone,One Touch  Easy  ,,,
33014067,Alcatel Radiotelephone,One Touch  Easy  ,,,
33014070,Alcatel Radiotelephone,One Touch  Easy  ,,,
33014071,Alcatel Radiotelephone,One Touch  Easy  ,,,
33014200,Wavecom,WM02-G900  ,,,
33014233,Wavecom,WM02-G900  ,,,
33014982,Sagem ,RC 835  ,,,
33015482,Sagem ,RD 840  ,,,
33016200,Sagem ,RC 810  ,,,
33016282,Sagem ,RC 810  ,,,
33016300,Sagem ,RC 820  ,,,
33016335,Sagem ,RC 820  ,,,
33016382,Sagem ,RC 820  ,,,
33016700,Sagem ,G312 B5  ,,,
33016735,Sagem ,G312 B5  ,,,
33016782,Sagem ,G312 B5  ,,,
33017082,Sagem ,RC 815  ,,,
33017282,Sagem ,RC 825  ,,,
33017900,Alcatel Radiotelephone ,ONE TOUCH CLUB+  ,,,
33017953,Alcatel Radiotelephone,One Touch  Club  ,,,
33017967,Alcatel Radiotelephone,One Touch  Club  ,,,
33017970,Alcatel Radiotelephone,One Touch  Club  ,,,
33017971,Alcatel Radiotelephone,One Touch  Club  ,,,
33018100,Sagem ,G313-B0  ,,,
